latitude;longitude;numberFloor;buildingHeight;completedYear
37.792098999023;-122.40380096436;52;237.44000244141;1969
40.762229919434;-73.986953735352;47;237.13999938965;1989
40.707721710205;-74.015060424805;64;237.05999755859;2017
44.976329803467;-93.268646240234;56;236.5299987793;1992
44.976928710938;-93.27091217041;56;236.32000732422;1988
47.607269287109;-122.3360824585;55;235.30999755859;1988
33.758941650391;-84.386688232422;50;234.69999694824;1992
41.882381439209;-87.630569458008;57;233.64999389648;1981
25.772239685059;-80.187423706055;55;232.80000305176;1983
29.758800506592;-95.370780944824;53;232.25999450684;1987
40.764808654785;-73.979629516602;60;230.74000549316;1991
29.759349822998;-95.362442016602;49;230.66000366211;2017
41.884811401367;-87.630546569824;50;230.47999572754;1992
29.757810592651;-95.36897277832;55;230.39999389648;1980
